External User ID	User ID Type	Internal User ID
1825steps	Twitter	1000
1845realty	Twitter	1001
2run3JeFFree	Twitter	1002
303dk	Twitter	1003
318Gh0st	Twitter	1004
35Cedeno	Twitter	1005
3LLN	Twitter	1006
3LWTV	Twitter	1007
3sh8_Tabuk	Twitter	1008
ALeC_w19	Twitter	1009
ATTCares	Twitter	1010
AWeippert	Twitter	1011
AaronMcBroom	Twitter	1012
AbsolutLIBRA	Twitter	1013
AcworthMom	Twitter	1014
AdamThrasher	Twitter	1015
AdamWHans	Twitter	1016
AgentLP	Twitter	1017
AlApplegreen	Twitter	1018
Alexandough	Twitter	1019
AllSeeingPyro	Twitter	1020
AllisonP1974	Twitter	1021
AlyssaJones624	Twitter	1022
AmandaGKelley	Twitter	1023
AmyMartinm	Twitter	1024
AndresPaulin0	Twitter	1025
AnnetteLawless	Twitter	1026
AnthonyG729	Twitter	1027
ArkansasBelle	Twitter	1028
Arleenafrances	Twitter	1029
ArtieFather	Twitter	1030
AtlantaMichael	Twitter	1031
AuntStephs	Twitter	1032
AussiePunter32	Twitter	1033
Ayo_breZZy	Twitter	1034
BBdroidzSprint	Twitter	1035
BBergJr	Twitter	1036
BLinahan	Twitter	1037
BOURRELL	Twitter	1038
B_rad_31	Twitter	1039
BabyGirl__Rina	Twitter	1040
BaileeMadison	Twitter	1041
BarrettDeitz	Twitter	1042
BartTowery	Twitter	1043
BeBig112	Twitter	1044
Beatt1	Twitter	1045
BerkowitzDan	Twitter	1046
Bessette20	Twitter	1047
BetharveyBeth	Twitter	1048
BillT85	Twitter	1049
BinaryBlobs	Twitter	1050
BlackActionJack	Twitter	1051
Blackhippypoet	Twitter	1052
BlacksburgStuff	Twitter	1053
BlaisColby	Twitter	1054
BobbieSchwier	Twitter	1055
Boots0370	Twitter	1056
BriansOpinions	Twitter	1057
Britt0810	Twitter	1058
BrooksBacot	Twitter	1059
Bucky1965	Twitter	1060
Buddhamangler	Twitter	1061
BuzzRolled	Twitter	1062
CCandyLuv	Twitter	1063
CEDLING	Twitter	1064
CHOFFERWITHLOVE	Twitter	1065
CMartindale5	Twitter	1066
CPLMayo	Twitter	1067
CaffeineAndCab	Twitter	1068
Caramarieluzzi	Twitter	1069
CarsonCityKid	Twitter	1070
CaryChaitoff	Twitter	1071
CeciliaG0227	Twitter	1072
Ceno6	Twitter	1073
ChadWSU	Twitter	1074
Chad_pole	Twitter	1075
ChanceyKnows	Twitter	1076
ChanelyLace1913	Twitter	1077
Chappysgirl5	Twitter	1078
CheekyMonkeyCub	Twitter	1079
ChelleHutt	Twitter	1080
Chente_005	Twitter	1081
ChrisFurguson	Twitter	1082
Chris_Chiarella	Twitter	1083
Christo60483753	Twitter	1084
CiGiTV	Twitter	1085
CivWarThor	Twitter	1086
ClassedeBruno	Twitter	1087
ClassyMandiego	Twitter	1088
Coach_JGill	Twitter	1089
CombestAlex	Twitter	1090
ConsumerAdvocte	Twitter	1091
CoreyNez_	Twitter	1092
CornwellKelley	Twitter	1093
CosmicMontoya	Twitter	1094
Cracker73	Twitter	1095
CristinaMamaof4	Twitter	1096
Crutnacker	Twitter	1097
CultureInTheory	Twitter	1098
DH10	Twitter	1099
DMason88	Twitter	1100
DaGrandJury	Twitter	1101
Dairenn	Twitter	1102
DanPetriskie	Twitter	1103
DarkAsNight	Twitter	1104
Darnell	Twitter	1105
DaveTRW	Twitter	1106
David82102928	Twitter	1107
DavidHepburnIII	Twitter	1108
DavidHudson04	Twitter	1109
DavidLBurkart	Twitter	1110
DeannaSpikes	Twitter	1111
DebsKeeler	Twitter	1112
Diaphanous21	Twitter	1113
DirtySouthKC	Twitter	1114
DivellaDavid	Twitter	1115
Djonli818	Twitter	1116
DombekMatt	Twitter	1117
DonnaMPetersen	Twitter	1118
DouglasDJones	Twitter	1119
DrBhrettMcCabe	Twitter	1120
DrJRogers	Twitter	1121
Dr_DanaMarie	Twitter	1122
Drakon805	Twitter	1123
DravenofKrypton	Twitter	1124
DylanFromTwitch	Twitter	1125
DylanMi30899234	Twitter	1126
EDZiLLUH	Twitter	1127
ELCHINGONsez	Twitter	1128
ELampertPR	Twitter	1129
EarlLansdell	Twitter	1130
Ehamaoui	Twitter	1131
Eldorath	Twitter	1132
Elgrandavidp	Twitter	1133
EllieAndAddie	Twitter	1134
EmpirePrime	Twitter	1135
EstyJuncal	Twitter	1136
EvanRazzaque	Twitter	1137
EvanThomas84	Twitter	1138
EwaMatuszewski	Twitter	1139
FLYEEGEI	Twitter	1140
Filthy_McGuyver	Twitter	1141
FlyKingE	Twitter	1142
Foodplustx	Twitter	1143
FosterKimberly	Twitter	1144
FranzMeyer6	Twitter	1145
Game_Tek85	Twitter	1146
GamerDad99	Twitter	1147
GeorgiaSuga	Twitter	1148
GhilleRising	Twitter	1149
GhostRises	Twitter	1150
Ginni36	Twitter	1151
GlenMaffews	Twitter	1152
Gluie154	Twitter	1153
GoCatGo	Twitter	1154
GodSavd	Twitter	1155
Godzo13	Twitter	1156
GonzalezNike	Twitter	1157
GregLee	Twitter	1158
Greg___Smith	Twitter	1159
GriffinWade	Twitter	1160
HGMC_GB	Twitter	1161
HWrightTyndall	Twitter	1162
Hannah11263777	Twitter	1163
HarleyLamey	Twitter	1164
HatingFrankie	Twitter	1165
HazlettATL	Twitter	1166
High5Fry	Twitter	1167
HighwayVagabond	Twitter	1168
HipHoptoSports	Twitter	1169
HiteshBansal_	Twitter	1170
HoboNaught	Twitter	1171
Hockey_darling	Twitter	1172
HollyxHawkes	Twitter	1173
HomeEcMel	Twitter	1174
HopefulWanders	Twitter	1175
HowardWalker404	Twitter	1176
HybridNerdKat	Twitter	1177
IAmTheMadMatt	Twitter	1178
I_Love_Crafts88	Twitter	1179
IamKillswitch	Twitter	1180
ImJESSsayin87	Twitter	1181
InkedUpB	Twitter	1182
ItsStefJ	Twitter	1183
JDVMSD	Twitter	1184
JET920	Twitter	1185
JIAMuniz	Twitter	1186
JLHammond10	Twitter	1187
JLancaster3	Twitter	1188
JRNagal	Twitter	1189
JStrax	Twitter	1190
J_Grant72	Twitter	1191
JasonCox	Twitter	1192
JasonKukulka	Twitter	1193
JayVTheGreat	Twitter	1194
Jcloud9	Twitter	1195
Jeffipedia	Twitter	1196
JennC_Educate	Twitter	1197
JennyPimentel	Twitter	1198
Jerry2626	Twitter	1199
JessicaLKeith25	Twitter	1200
Jgmfan	Twitter	1201
JizzySal	Twitter	1202
JofNappyBeauty	Twitter	1203
JohnCookman	Twitter	1204
JonShadowpeeh	Twitter	1205
JoseGonpacer14	Twitter	1206
Josegarciaduhh	Twitter	1207
Jtmagnus87	Twitter	1208
Juggleypuff	Twitter	1209
K8lyne_	Twitter	1210
KEMcEvoy	Twitter	1211
KSPLAYZ_OG	Twitter	1212
KStapleton359	Twitter	1213
KaneoHakune	Twitter	1214
KappatenH2O	Twitter	1215
KatyAneira	Twitter	1216
Kazzy213	Twitter	1217
KcharlesNewsNow	Twitter	1218
KeLuKeLuGames	Twitter	1219
KevinDDent	Twitter	1220
KevinSte94116SF	Twitter	1221
KhloodIsmail	Twitter	1222
KingJique	Twitter	1223
Kogerc34	Twitter	1224
KokoKashmere	Twitter	1225
Kourtney_WithAK	Twitter	1226
Krisheyephoto	Twitter	1227
KristinJThomas	Twitter	1228
KrystiMikkonen	Twitter	1229
KyleTaymar	Twitter	1230
LMCatalano	Twitter	1231
LVT4Fun	Twitter	1232
Lalapureangel	Twitter	1233
LaleeD	Twitter	1234
Landmannery	Twitter	1235
LarryHodgins	Twitter	1236
LaughDoc	Twitter	1237
Launerts	Twitter	1238
LauretteRyan	Twitter	1239
LeBaronLordKing	Twitter	1240
LeanneCalderLib	Twitter	1241
LeeCrayAnn	Twitter	1242
LeslieDeniseLL	Twitter	1243
LiamJG5	Twitter	1244
LillyAnnFraizer	Twitter	1245
LisaMuetzel	Twitter	1246
LisaatVERB	Twitter	1247
Litzz11	Twitter	1248
LiyuSelam	Twitter	1249
LoquaciousDee	Twitter	1250
LosTnMyTh0ughTz	Twitter	1251
LouislvlLuis	Twitter	1252
LoveIsLove247	Twitter	1253
LowBallScotch	Twitter	1254
Lucianoo_____	Twitter	1255
Lucky_starlett	Twitter	1256
MARMES10	Twitter	1257
MDWait	Twitter	1258
MKieferDallas	Twitter	1259
Maj_Mommy	Twitter	1260
MamaMyers14	Twitter	1261
MandiT13	Twitter	1262
Manikinss	Twitter	1263
MarcBernierShow	Twitter	1264
MarcVogin	Twitter	1265
MarkJaskulski	Twitter	1266
MarkSBader	Twitter	1267
Marriana__	Twitter	1268
Marup_Ahmed	Twitter	1269
MattRoth512	Twitter	1270
Mavandspark	Twitter	1271
MeatRushmoreBBQ	Twitter	1272
MegsATC	Twitter	1273
MemRook	Twitter	1274
MemphoNewsLady	Twitter	1275
Meshia212	Twitter	1276
MichChristellas	Twitter	1277
Michell1106	Twitter	1278
Miiss_Chelle	Twitter	1279
MikeCristoforo	Twitter	1280
Mikey_5259	Twitter	1281
MillieTime69	Twitter	1282
Minorj85	Twitter	1283
MoazMansour	Twitter	1284
MomOfDeplorable	Twitter	1285
MoneySatan	Twitter	1286
Mononymously	Twitter	1287
MosesNicolepmo	Twitter	1288
MovieTickets	Twitter	1289
MrGi11	Twitter	1290
MrRichardRuhr	Twitter	1291
MrsMullen2010	Twitter	1292
MsLara85	Twitter	1293
MsNycole	Twitter	1294
MsVixen82	Twitter	1295
Ms_FitnessDiva	Twitter	1296
MudROH	Twitter	1297
Mulder24	Twitter	1298
Musistics	Twitter	1299
NDBathwater	Twitter	1300
NFLGuy_SK	Twitter	1301
NFLRandR	Twitter	1302
NYYankeePride	Twitter	1303
Namwob_n	Twitter	1304
NashvilleWPDev	Twitter	1305
Natgj215	Twitter	1306
NegativZeroe	Twitter	1307
NerdfromAkron	Twitter	1308
NikkiJo76	Twitter	1309
NoDiggity__	Twitter	1310
Nonchalant_2u	Twitter	1311
Noobinator42426	Twitter	1312
NorCalGino	Twitter	1313
NotDevinSeto	Twitter	1314
NotIntolerant	Twitter	1315
Nuclearboy85	Twitter	1316
NyokaSnek	Twitter	1317
OfficialGiampy	Twitter	1318
OrlDivaRealtor	Twitter	1319
OverlordQ	Twitter	1320
P3WORLD	Twitter	1321
PTrambley	Twitter	1322
PaulusSteve	Twitter	1323
PayneAuch	Twitter	1324
PeelerMary	Twitter	1325
PhatKatSista	Twitter	1326
Pjlullo	Twitter	1327
PostGay	Twitter	1328
PricklyPinecone	Twitter	1329
Problem_Childd	Twitter	1330
PsychicHealerC	Twitter	1331
PubMariner	Twitter	1332
PubPine	Twitter	1333
PvtCrab	Twitter	1334
Q_ill	Twitter	1335
Quasaur	Twitter	1336
RAOpolitics	Twitter	1337
REACEYUNG	Twitter	1338
RICXHJLB	Twitter	1339
RSantosJr	Twitter	1340
RWW55	Twitter	1341
Raging_Zucchini	Twitter	1342
RaiderGolfMom	Twitter	1343
RandomIsThePlan	Twitter	1344
RationalAhole	Twitter	1345
