Internal User ID	Country	State	City
1000	United States	Delaware	NA	
1001	United States	West Virginia	NA	
1002	United States	Delaware	NA	
1003	United States	Arizona	NA	
1004	United States	Alabama	NA	
1005	United States	Wyoming	NA	
1006	United States	Nebraska	NA	
1007	United States	Pennsylvania	NA	
1008	United States	West Virginia	NA	
1009	United States	Oklahoma	NA	
1010	United States	Connecticut	NA	
1011	United States	Massachusetts	NA	
1012	United States	Oregon	NA	
1013	United States	Iowa	NA	
1014	United States	Maryland	NA	
1015	United States	Louisiana	NA	
1016	United States	Illinois	NA	
1017	United States	Tennessee	NA	
1018	United States	Connecticut	NA	
1019	United States	Illinois	NA	
1020	United States	North Carolina	NA	
1021	United States	Ohio	NA	
1022	United States	Arizona	NA	
1023	United States	Connecticut	NA	
1024	United States	Mississippi	NA	
1025	United States	Maine	NA	
1026	United States	Maine	NA	
1027	United States	North Carolina	NA	
1028	United States	New Jersey	NA	
1029	United States	Idaho	NA	
1030	United States	New York	NA	
1031	United States	Nebraska	NA	
1032	United States	Missouri	NA	
1033	United States	Connecticut	NA	
1034	United States	Delaware	NA	
1035	United States	Hawaii	NA	
1036	United States	Texas	NA	
1037	United States	North Carolina	NA	
1038	United States	Arkansas	NA	
1039	United States	New York	NA	
1040	United States	New York	NA	
1041	United States	Delaware	NA	
1042	United States	Dist of Columbia	NA	
1043	United States	Illinois	NA	
1044	United States	Montana	NA	
1045	United States	Michigan	NA	
1046	United States	California	NA	
1047	United States	Arkansas	NA	
1048	United States	Michigan	NA	
1049	United States	Montana	NA	
1050	United States	Maryland	NA	
1051	United States	Wisconsin	NA	
1052	United States	New York	NA	
1053	United States	Tennessee	NA	
1054	United States	South Dakota	NA	
1055	United States	Montana	NA	
1056	United States	Florida	NA	
1057	United States	Wyoming	NA	
1058	United States	West Virginia	NA	
1059	United States	Texas	NA	
1060	United States	Vermont	NA	
1061	United States	Alabama	NA	
1062	United States	California	NA	
1063	United States	Utah	NA	
1064	United States	Iowa	NA	
1065	United States	Wyoming	NA	
1066	United States	New Jersey	NA	
1067	United States	Michigan	NA	
1068	United States	South Carolina	NA	
1069	United States	Florida	NA	
1070	United States	Ohio	NA	
1071	United States	Tennessee	NA	
1072	United States	South Dakota	NA	
1073	United States	Oregon	NA	
1074	United States	Massachusetts	NA	
1075	United States	New Jersey	NA	
1076	United States	Virginia	NA	
1077	United States	Montana	NA	
1078	United States	Wisconsin	NA	
1079	United States	Kansas	NA	
1080	United States	Louisiana	NA	
1081	United States	North Carolina	NA	
1082	United States	North Dakota	NA	
1083	United States	Massachusetts	NA	
1084	United States	Wisconsin	NA	
1085	United States	Pennsylvania	NA	
1086	United States	Illinois	NA	
1087	United States	California	NA	
1088	United States	Pennsylvania	NA	
1089	United States	Connecticut	NA	
1090	United States	New York	NA	
1091	United States	Maryland	NA	
1092	United States	North Dakota	NA	
1093	United States	Virginia	NA	
1094	United States	Oregon	NA	
1095	United States	New Mexico	NA	
1096	United States	Oregon	NA	
1097	United States	Indiana	NA	
1098	United States	North Dakota	NA	
1099	United States	Kentucky	NA	
1100	United States	North Dakota	NA	
1101	United States	West Virginia	NA	
1102	United States	Oregon	NA	
1103	United States	Washington	NA	
1104	United States	New Jersey	NA	
1105	United States	New Jersey	NA	
1106	United States	Georgia	NA	
1107	United States	Florida	NA	
1108	United States	Florida	NA	
1109	United States	Pennsylvania	NA	
1110	United States	Ohio	NA	
1111	United States	Iowa	NA	
1112	United States	Utah	NA	
1113	United States	Idaho	NA	
1114	United States	Mississippi	NA	
1115	United States	Indiana	NA	
1116	United States	Alabama	NA	
1117	United States	Nebraska	NA	
1118	United States	Iowa	NA	
1119	United States	Nebraska	NA	
1120	United States	Illinois	NA	
1121	United States	Oregon	NA	
1122	United States	Wisconsin	NA	
