time,msgId,prevMsgId,from,prevUser,popularity,text
1479233655000,798589946676137984,798548893243838464,ATTCares,LessThanChuck,0,@LessThanChuck We don't want you to feel this way! Please allow us to help. Please provide me your AT&amp;T phone number? -VanessaR.
1479223867000,798548893243838464,null,LessThanChuck,ATT,0,@ATT Thanks for NOT honoring the broken screen protection despite explicitly stating my phone model and area were e… https://t.co/uNLqSfAPdn
1479233618000,798589792338448384,798570612679733248,ATTCares,bmurs21,0,@bmurs21 Hi there Brian! We are here to assist! Are your looking to reconnect your service? Thank you! ^TawannaB
1479233554000,798589524318138368,798587653956374528,ATTCares,IamKillswitch,0,@IamKillswitch Fantastic! We're glad to hear it. If you ever need help in the future please reach out to us! We would love to help! ^SaraF
1479233108000,798587653956374528,798563735145156608,IamKillswitch,ATTCares,0,@ATTCares thanks but I went to the store and they resolved it in five minutes. Online and by phone I got 10 different answers.
1479227405000,798563735145156608,798550899387940864,ATTCares,IamKillswitch,0,@IamKillswitch We hate to see you feel this way! Please DM us with more details so that we can further and properly assist you! ^TawannaB
1479224345000,798550899387940864,null,IamKillswitch,ATT,0,@ATT You're on the list. Train your damned reps right. I'm stuck with a bill because of their misinformation? Ridiculous.
1479233310000,798588501952299008,798555515395706880,ATTCares,GulliRana,0,@GulliRana Thank you for allowing me to assist you it was a pleasure if you need assistances contact me. -VanessaR. Social Media Specialist.
1479225445000,798555515395706880,null,GulliRana,ATT,0,@att honestly fuck u guys.
1479232987000,798587147821326336,798586041678630912,ATTCares,kami_rogers,0,@kami_rogers This has happened before? Dm us, we want to know more about this concern your having with your service. Thanks ! ^LillyH
1479232724000,798586041678630912,798509817404989441,kami_rogers,ATTCares,0,@ATTCares nope, only when I'm in the middle of something cool. It's annoying, happens all the time &amp; I've had a tech by the house check it.
1479214550000,798509817404989441,798473419666952192,ATTCares,kami_rogers,0,@kami_rogers Our sincere apologies for the inconvenience Kami! Is your TV service still down this morning? Please let us know via DM. ^GregH
1479205872000,798473419666952192,null,kami_rogers,Uverse,0,@Uverse  missed ten minutes of a basketball game I paid to see.? https://t.co/lQ58SLFEoM
1479232917000,798586851904917504,798584009370390528,ATTCares,RealMarkHallman,0,@RealMarkHallman Great Mark! We're glad to hear that! If you ever need assistance, please reach out to us! We would love to help! ^SaraF
1479232239000,798584009370390528,null,RealMarkHallman,null,0,I just switched to @ATT from @sprint and the difference is insane. So glad I don't have to deal with Sprints terrible service anymore??
1479232839000,798586527764905985,798570077809442816,ATTCares,maxpixelation,0,@maxpixelation That's not conducive! What service do you have with us? Have you tried paying through MyAT&amp;T app? DM us! ^VeronicaP
1479228917000,798570077809442816,null,maxpixelation,ATTCares,0,@ATTCares Online billing portal has been down for days. Called 3 times to correct an error, ppl keep saying they fixed it but they didn't.
1479232758000,798586188424769536,null,ATTCares,soulinvictus,0,@soulinvictus Sorry to hear of ongoing trouble. We'd love to help. Please send private message to this acct with details &amp; acct #.  Tomeki
1479231977000,798582910974500864,798581766273441792,ATTCares,ashoddd,0,@ashoddd We don't want that! Please Dm us your account information, let's take a deeper look. We want to fix your concerns. Thanks! ^LillyH
1479231704000,798581766273441792,798581194384351232,ashoddd,ATTCares,0,@ATTCares nothing for me to fix. It's your problem. Your techs are still looking into it. I'm considering switching to @TMobile
1479231568000,798581194384351232,798578875097706496,ATTCares,ashoddd,0,@ashoddd We got your back, Ashod! You can find out how to fix this here: https://t.co/HThkcq2LDE  Let us know if this works! ^ValM
1479231015000,798578875097706496,null,ashoddd,null,0,2 hrs with @ATT &amp; worked out they had an issue with my service &amp; I had no data or txt msgs since Sat night ? just received some delayed txts
1479231909000,798582626231742464,798567370591797248,ATTCares,pappjo,0,@pappjo Hey John! Follow this link here https://t.co/96EeLmGZKi to get more details about our charges associated to a number transfer.^EvanR
1479228272000,798567370591797248,null,pappjo,ATTCares,0,@ATTCares just ported a number to a new line in Family Plan. Monthly charge for additional line was unexpected. Can this be checked?
1479231816000,798582236585070596,798567418352242688,ATTCares,Murali_Mallu,0,@Murali_Mallu We are here to help Murali! Is this concerning a landline or wireless! Thank you! ^TawannaB
1479228283000,798567418352242688,null,Murali_Mallu,ATT,0,@ATT My Phone number has been disconnected without any notification and I have spoken to 4 Customer Care Representatives already
1479231718000,798581823727144961,798578724316839940,ATTCares,badboiblee,0,@badboiblee We don't want you to feel this way. What can we do to turn things around? DM us more details. We're here for you! ^IndiaC
1479230979000,798578724316839940,null,badboiblee,ATT,0,@ATT @ATTCares      Worst customer service on earth. PERIOD.
1479231568000,798581194384351232,798578875097706496,ATTCares,ashoddd,0,@ashoddd We got your back, Ashod! You can find out how to fix this here: https://t.co/HThkcq2LDE  Let us know if this works! ^ValM
1479231015000,798578875097706496,null,ashoddd,null,0,2 hrs with @ATT &amp; worked out they had an issue with my service &amp; I had no data or txt msgs since Sat night ? just received some delayed txts
1479231401000,798580494661251072,798563693298585603,ATTCares,KristinJThomas,0,@KristinJThomas (3/3) on your bill? Let us know! We look forward to hearing back from you. We are here. Thanks for your patience.^NeceyJ
1479227395000,798563693298585603,795672886212231169,KristinJThomas,ATTCares,0,@ATTCares still crooks!  On the phone now and my reference codes and case numbers still not updated.  Unreal.  No Acct credit
1479231322000,798580164565286912,798563693298585603,ATTCares,KristinJThomas,0,@KristinJThomas (2/3)your account number so we can investigate. Also, is your wireless service bundled with any other AT&amp;T products
1479227395000,798563693298585603,795672886212231169,KristinJThomas,ATTCares,0,@ATTCares still crooks!  On the phone now and my reference codes and case numbers still not updated.  Unreal.  No Acct credit
1479231111000,798579276987715585,798563693298585603,ATTCares,KristinJThomas,0,@KristinJThomas (1/3) Hello Kristin, We'd love to get to the bottom of that billing concern for you. Please send us a private message with
1479227395000,798563693298585603,795672886212231169,KristinJThomas,ATTCares,0,@ATTCares still crooks!  On the phone now and my reference codes and case numbers still not updated.  Unreal.  No Acct credit
1479231012000,798578863018221568,798568145334042624,ATTCares,SAA_tweetheart,0,@SAA_tweetheart We want to help you Shelby! Can you please send us a DM with the account number so we can better assist you. ^ChrisB
1479228457000,798568145334042624,null,SAA_tweetheart,Uverse,1,@Uverse is a waste of time, how can you reschedule and cancel installation 3 times without ever notifying the customer of the cancellation?
1479230920000,798578478832500736,798574947584995328,ATTCares,moofer1972,0,@moofer1972 We'll let's jump on that! DM us! We would love to check that for you. Thanks for chosen AT&amp;T! ^LillyH
1479230078000,798574947584995328,null,moofer1972,ATT,0,@ATT owes my wife $162 after switching to Sprint and won't pay her. I think I'll switch the rest of the household. U-verse &amp; my phone,
1479230362000,798576137609814017,798569659175825408,ATTCares,ekmedia,0,@ekmedia We're here for you, could you please DM us your account information? Let's see what's going on with your phone. Thanks! ^LillyH
1479228818000,798569659175825408,null,ekmedia,null,0,So frustrated w @ATT! How can nobody give an answer or unlock my phone after fees/bills were paid?! Diff answer from each CS rep I talk to!!
1479230069000,798574906489311232,798552578556469248,ATTCares,debbie_san_dieg,0,@debbie_san_dieg Hello Debbie, We'd hate to lose you. Give us a chance to turn it around for you. Please DM us with more details.^NeceyJ
1479224745000,798552578556469248,null,debbie_san_dieg,null,0,Waiting until 8:00 am to call AT&amp;T to cancel the installation today.  The guy said I was getting fiber and I was... https://t.co/qhlKTyRJnw
