time	msgId	prevMsgId	from	prevUser	popularity	text
1479240662000	798619338844426241	null	sbjay44	ATTCares	0	@ATTCares @ATT  Att u verse has some of the worst customer service I have ever experienced
1479240633000	798619214814867456	null	deeperthink	ATTCares	0	@ATTCares I am sorry but I have not heard any response for about a week, could you please take an another look at my issue?
1479238901000	798611952419237888	null	markgmed	ATTCares	0	@ATTCares I reached out for support on 11/2 and still no word back. SMH https://t.co/Ntj8kM8oQv
1479238869000	798611817723404288	null	Sjord_uV	ATTCares	0	@ATTCares internet is down may you help
1479238790000	798611486847287296	null	xCaptKirk	ATTCares	0	@ATTCares need some help with my internet
1479238774000	798611418559844352	null	rcam17	ATTCares	0	@ATTCares whom can i speak with about a corporate discount/credit and having it applied to my account?
1479238316000	798609499548483584	null	scubastl	ATTCares	0	@ATTCares PLEASE ADD @Pac12Network to Directv.  Long time premium subscriber and @APlayersProgram fan.
1479238264000	798609278378590208	798562235773755392	itsmadsn0	ATTCares	0	@ATTCares ATT is the worlds worst!!! I'm buying a lock for my fence to keep them out!!!
1479238222000	798609105971650562	798562235773755392	itsmadsn0	ATTCares	0	@ATTCares you have the slowest workers ever!!! They are working on the next house but are in my yard preventing my dog for going out
1479238150000	798608800945049600	null	Manikinss	ATTCares	0	@ATTCares I've been without cable, internet, and phone line usage for a whole day and now I'm told I can't get help for another day. Great!
1479238117000	798608663585779712	798235413089550336	P3WORLD	ATTCares	0	@ATTCares everytime I have to call you idiots i get the run around &amp; end with same problems. Sick of it. Hello @FrontierCorp @RipoffReport
1479238070000	798608466944360448	798607680084398080	tizcrush	ATTCares	0	.@ATTCares No thank you. I'd like others that are considering your services to see what a debacle it is to deal with you.
1479237907000	798607781150355456	798606195078508544	P3WORLD	ATTCares	0	@ATTCares Idiots in billing can't get the bill, cell service or the internet connection right. I'd be fired if I was that incompetent @USA
1479237836000	798607484332240898	798542864351371264	exciting2u	ATTCares	0	@ATTCares  Just DM message. Thanks.
1479237403000	798605670757048320	798590805959213056	tizcrush	ATTCares	0	@ATTCares Service Mgr called me back. Wasted more of my time arguing before finally agreeing to the ORIGINAL agreement of waving $99 fee
1479237144000	798604583224250368	798602726775078912	P3WORLD	ATTCares	0	@ATTCares Customer service sucks &amp; your billing dept too. @FucktardIdiot @PoorServiceUSA @poorserviceNG @WallStreetWeek @CellphoneDonkey
1479236887000	798603504856117249	798235413089550336	P3WORLD	ATTCares	0	@ATTCares I'm tired of being passed around your idiot call center &amp; getting nowhere. What a waste. Still have same problems. @FrontierCorp
1479236825000	798603244159107074	798602726775078912	P3WORLD	ATTCares	0	@ATTCares Help by getting quality service &amp; stop sending me bills after i have paid them. this is month 2. not calling you idiots any more
1479236691000	798602682067890176	796058562506227712	P3WORLD	ATTCares	0	@ATTCares Again, so i can have the same problem &amp; get another tweet from some desk jockey! Fix your crap services &amp; billing. @ServiceSucks
1479236605000	798602323140300800	796038757506027521	P3WORLD	ATTCares	0	@ATTCares check your human resources. it appears you have idiots working for you in billing &amp; customer service. @TheWorstCompany @NewAmerica
1479236517000	798601954532335621	798601633391255552	DrJRogers	ATTCares	0	@ATTCares I sent you a DM.
1479236473000	798601769160871936	798235413089550336	P3WORLD	ATTCares	0	@ATTCares My bill is wrong again! I have receipts &amp; keep getting late charges. You store kiosk does not link to accounting or what? @idiot
1479236451000	798601674612871170	null	ae6dx	ATTCares	0	@ATTCares I have a canceled account I can't remove from my online profile. Customer service can't seem to help.
1479236234000	798600765430317056	798235413089550336	P3WORLD	ATTCares	0	@ATTCares You AT&amp;T idiots should be put in jail for being morons. My bill is wrong again! Another late charge but I have receipts of payment
1479235869000	798599236266823680	null	TheBoyWander	ATTCares	0	@ATTCares my iPhone delivery was stolen 2 weeks ago bc it was sent without signature required. I have called support 5 times - no resolution
1479235830000	798599072064110593	null	lifebeautymore	ATTCares	0	@ATTCares are you going to answer my Dm or is that for show
1479235743000	798598706173911040	null	MomOfDeplorable	ATTCares	0	@ATTCares not receiving or able to send texts. Joplin, Missouri area...outages?
1479235537000	798597841186754560	798597512995028992	DrJRogers	ATTCares	0	@ATTCares I simply want to keep the package and pricing I had last month. :/ no upselling.
1479235483000	798597614786576385	null	badcompany76	ATTCares	0	@ATTCares On top of everything else that's gone wrong with my "forced migration", gate left open and dogs got out. Unhappy=understatement!
1479235285000	798596783802875905	null	lifebeautymore	ATTCares	0	@ATTCares this has been the worst experience I'll never refer another customer to you 4 to 6 weeks and nothing to show
1479235243000	798596609328238592	null	lifebeautymore	ATTCares	0	@ATTCares and the dept you have for this does not answer and when I did get a answer they don't get back to you
1479235196000	798596412854259712	null	lifebeautymore	ATTCares	0	@ATTCares where is the resolution to my issue I've yet to receive my referral reward cards
1479234002000	798591404037574657	798589792338448384	bmurs21	ATTCares	0	@ATTCares No I am not, I just need to regain temporary access to my email account. Thank you for the fast reply.
1479233108000	798587653956374528	798563735145156608	IamKillswitch	ATTCares	0	@ATTCares thanks but I went to the store and they resolved it in five minutes. Online and by phone I got 10 different answers.
1479232997000	798587187633778688	798562235773755392	itsmadsn0	ATTCares	0	@ATTCares ATT was here at my home for the people in the back of me. My internet came back thanks
1479232724000	798586041678630912	798509817404989441	kami_rogers	ATTCares	0	@ATTCares nope, only when I'm in the middle of something cool. It's annoying, happens all the time &amp; I've had a tech by the house check it.
1479232003000	798583019967627264	798576137609814017	ekmedia	ATTCares	0	@ATTCares  Thanks Lilly. Just DM'd you.
1479231771000	798582047166070784	null	BrooksBacot	ATTCares	0	@ATTCares wish you would finish running lines. No ground internet for a year and your teams have been digging for 3 months.
1479231704000	798581766273441792	798581194384351232	ashoddd	ATTCares	0	@ATTCares nothing for me to fix. It's your problem. Your techs are still looking into it. I'm considering switching to @TMobile
1479229645000	798573129341825024	null	tizcrush	ATTCares	0	@ATTCares that is cannot be? Was then told I cant speak to a supervisor. This service is shit and @ATTCares does not take care of customers
1479229045000	798570612679733248	null	bmurs21	ATTCares	0	@ATTCares cant access https://t.co/Xp6akY1nWQ email, "no longer have access service was suspended" I urgently need an email from this inbox
1479228917000	798570077809442816	null	maxpixelation	ATTCares	0	@ATTCares Online billing portal has been down for days. Called 3 times to correct an error, ppl keep saying they fixed it but they didn't.
1479228272000	798567370591797248	null	pappjo	ATTCares	0	@ATTCares just ported a number to a new line in Family Plan. Monthly charge for additional line was unexpected. Can this be checked?
1479228033000	798566367523913728	798565949418991617	misfitmarceline	ATTCares	0	@ATTCares i don't think you read my tweet
1479228015000	798566294840754176	798545672895131648	mjhensler	ATTCares	0	@ATTCares done
1479227906000	798565833899384832	null	chris693850	ATTCares	1	@ATTCares @ATT  @DIRECTVService  @DIRECTV when are you launching #DirecTVNow
1479227865000	798565663933603840	798554437358731264	Sde81883380	ATTCares	0	@ATTCares hello, is anyone there.  What in the world is the problem over there?
1479227637000	798564706839625728	798557834988421120	Sde81883380	ATTCares	0	@ATTCares hello, is anyone there?!?!  Here we go again...
1479227395000	798563693298585603	795672886212231169	KristinJThomas	ATTCares	0	@ATTCares still crooks!  On the phone now and my reference codes and case numbers still not updated.  Unreal.  No Acct credit
1479226835000	798561344354156545	null	timyardley	ATTCares	0	@ATTCares can you follow for a DM? Thanks.
